name,ratings,price,camera,display,battery,storage,ram,processor,android_version
"SAMSUNG Galaxy A03 (Red, 32 GB)",4.1,9498,48,other_types,5000,32,3,not mentioned,11
"SAMSUNG Galaxy A52 (Awesome Blue, 128 GB)",4.3,24990,64,HD+ AMOLED,4500,128,8,Snapdragon720GProcessor,11
"SAMSUNG Galaxy A23 5G (Orange, 128 GB)",3.8,23999,50,LCD,5000,128,8,Snapdragon695,12
"SAMSUNG Galaxy A04e (Copper, 64 GB)",4.2,9999,13,LCD,5000,64,3,not mentioned,12
"SAMSUNG Galaxy M34 5G without charger (Prism Silver, 128 GB)",4.3,21399,50,other_types,6000,128,6,not mentioned,13
"SAMSUNG Galaxy F62 (Laser Green, 128 GB)",4.2,25999,64,HD+ AMOLED,7000,128,8,not mentioned,11
"SAMSUNG Galaxy M32 5G (Slate Black, 128 GB)",4.2,20999,48,other_types,5000,128,8,Dimensity720,11
"SAMSUNG Galaxy M12 (Blue, 64 GB)",4.3,10999,48,other_types,6000,64,4,not mentioned,11
"SAMSUNG Galaxy S22 Ultra 5G (Phantom Black, 256 GB)",4.3,20463,108,AMOLED,5000,256,12,not mentioned,12
"SAMSUNG Galaxy M12 (Blue, 128 GB)",4.3,15499,48,other_types,6000,128,6,not mentioned,11
"SAMSUNG Galaxy F12 (Sky Blue, 64 GB)",4.1,10890,48,other_types,6000,64,4,not mentioned,11
"SAMSUNG A52s 5G (Awesome Black, 128 GB)",4.0,30990,64,other_types,4500,128,6,not mentioned,11
"SAMSUNG Galaxy S20 FE (Cloud Lavender, 128 GB)",4.0,27944,32,HD+ AMOLED,4500,128,8,not mentioned,10
"SAMSUNG Galaxy A53 (Awesome Blue, 128 GB)",4.1,31999,64,HD+ AMOLED,5000,128,6,not mentioned,12
"SAMSUNG Galaxy A03 (Blue, 32 GB)",4.0,8991,48,other_types,5000,32,3,not mentioned,11
"SAMSUNG Galaxy A03s (Blue, 32 GB)",4.1,11499,13,LCD,5000,32,3,Heilo356765,11
"SAMSUNG Galaxy F42 5G (Matte Aqua, 128 GB)",4.1,22999,64,other_types,5000,128,8,Dimensity700,11
"SAMSUNG Galaxy A03 Core (Green, 32 GB)",4.2,8403,8,LCD,5000,32,2,not mentioned,11
"SAMSUNG Galaxy A34 5G (Awesome Silver, 256 GB)",4.0,31990,48,other_types,5000,256,8,"Dimensity1080,",13
"SAMSUNG Galaxy A03s (Black, 32 GB)",4.4,11499,13,LCD,5000,32,3,Heilo356765,11
"SAMSUNG Galaxy A03s (Black, 64 GB)",4.3,14499,13,LCD,5000,64,4,Heilo356765,11
"SAMSUNG Galaxy F12 (Sea Green, 64 GB)",4.2,10890,48,other_types,6000,64,4,not mentioned,11
"SAMSUNG A04 e (Copper, 64 GB)",4.1,9999,13,other_types,5000,64,3,Heilo67653512,4
"SAMSUNG Galaxy A03 (Red, 32 GB)",3.7,9498,48,other_types,5000,32,3,not mentioned,11
"SAMSUNG Galaxy M53 5G (Deep Ocean Blue, 128 GB)",4.2,26999,108,other_types,5000,128,6,not mentioned,12
"SAMSUNG Galaxy A50 (Black, 64 GB)",4.3,21000,25,AMOLED,4000,64,4,not mentioned,9
"SAMSUNG Galaxy A13 (Black, 128 GB)",4.1,14999,50,other_types,5000,128,4,not mentioned,12
"SAMSUNG Galaxy A34 5G (Awesome Lime, 128 GB)",4.3,28999,48,other_types,5000,128,6,"Dimensity1080,",13
"SAMSUNG Galaxy A03 Core (Blue, 32 GB)",4.1,8150,8,LCD,5000,32,2,not mentioned,11
"SAMSUNG Galaxy A12 (Blue, 64 GB)",4.2,14999,48,LCD,5000,64,4,Heilo356765,10
"SAMSUNG Galaxy A32 (Awesome Black, 128 GB)",4.2,20999,64,AMOLED,5000,128,8,Heilo80P,11
"SAMSUNG Galaxy A14 (Silver, 64 GB)",3.9,13999,50,LCD,5000,64,4,not mentioned,13
"SAMSUNG Galaxy A33 (Awesome Peach, 128 GB)",4.1,25999,48,other_types,5000,128,6,not mentioned,12
"SAMSUNG Galaxy A04e (Copper, 128 GB)",4.1,11499,13,LCD,5000,128,4,not mentioned,12
"SAMSUNG Galaxy M14 5G (Icy Silver, 128 GB)",4.2,16490,50,other_types,6000,128,6,not mentioned,13
"SAMSUNG Galaxy A14 (Black, 64 GB)",3.9,13999,50,LCD,5000,64,4,not mentioned,13
"SAMSUNG Galaxy M14 5G (Smoky Teal, 128 GB)",4.2,14989,50,other_types,6000,128,4,not mentioned,13
"SAMSUNG Galaxy A52 (Awesome Blue, 128 GB)",4.3,25989,64,HD+ AMOLED,4500,128,6,Snapdragon720GProcessor,11
